tweet_id,text,city,school,sentiment,risk_level,risk_score,category,bullying_detected,created_at,processed_at,retweet_count,like_count
dummy_32_1765677992,"goblok banget sih dia, gampang banget dibully #mentalhealth @kemdikbud",Makassar,SMA Negeri 1 Makassar,negatif,merah,18.0,pelaku,True,2025-12-09 15:17:32,2025-12-14 10:06:36,30,68
dummy_33_1765677992,ada anak di sekolahku yang sering nangis di toilet sendirian,Surabaya,SMA Negeri 3 Surabaya,netral,aman,2.0,unknown,False,2025-11-19 20:11:32,2025-12-14 10:06:36,34,98
dummy_34_1765677992,kenapa sih ada yang tega bully anak orang?,Depok,SMA Negeri 2 Depok,negatif,merah,13.0,saksi,True,2025-11-20 14:34:32,2025-12-14 10:06:36,37,80
dummy_35_1765677992,teman-teman mulai berubah jadi lebih baik,Surakarta,SMP Negeri 1 Surakarta,netral,aman,2.0,unknown,False,2025-11-14 20:11:32,2025-12-14 10:06:36,1,91
dummy_36_1765677992,guru BK peduli sama masalah siswa,Palembang,SMA Negeri 1 Palembang,netral,aman,2.0,unknown,False,2025-12-14 00:35:32,2025-12-14 10:06:36,37,35
dummy_37_1765677992,kenapa ya aku selalu jadi bahan olokan? capek mental,Tangerang,SMP Negeri 3 Tangerang,netral,aman,2.0,unknown,False,2025-11-26 04:46:32,2025-12-14 10:06:36,47,52
dummy_38_1765677992,kenapa sih ada yang tega bully anak orang? #bullying,Bekasi,SMP Negeri 1 Bekasi,negatif,merah,13.0,saksi,True,2025-12-08 18:45:32,2025-12-14 10:06:36,22,62
dummy_39_1765677992,liburan sekolah menyenangkan #pendidikan,Makassar,SMP Negeri 2 Makassar,netral,aman,2.0,unknown,False,2025-11-26 00:32:32,2025-12-14 10:06:36,45,77
dummy_40_1765677992,kenapa sih ada yang tega bully anak orang? #bullying,Surabaya,SMP Negeri 3 Surabaya,negatif,merah,13.0,saksi,True,2025-11-18 12:12:32,2025-12-14 10:06:36,17,97
dummy_41_1765677992,sedih liat anak SMP dibully sampai mogok sekolah #pendidikan,Denpasar,SMK Negeri 2 Denpasar,negatif,merah,18.0,saksi,True,2025-11-16 20:55:32,2025-12-14 10:06:36,31,74
dummy_42_1765677992,program mentoring di sekolahku bagus #sekolah @teacher,Semarang,SMP Negeri 2 Semarang,netral,aman,1.0,unknown,False,2025-11-21 06:34:32,2025-12-14 10:06:36,41,1
dummy_43_1765677992,hari ini ada workshop anti bullying di sekolah,Jakarta,SMK Negeri 2 Jakarta,negatif,merah,12.0,saksi,True,2025-11-15 00:01:32,2025-12-14 10:06:36,2,31
dummy_44_1765677992,kenapa ya aku selalu jadi bahan olokan? capek mental #mentalhealth,Palembang,SMP Negeri 4 Palembang,netral,aman,2.0,unknown,False,2025-11-14 19:21:32,2025-12-14 10:06:36,9,57
dummy_45_1765677992,"mau nangis, di-bully terus di sekolah",Denpasar,SMP Negeri 3 Denpasar,negatif,merah,13.0,saksi,True,2025-11-28 09:33:32,2025-12-14 10:06:36,0,71
dummy_46_1765677992,asyik ngerjain orang yang gak bisa melawan,Bekasi,SMA Negeri 2 Bekasi,netral,aman,1.0,unknown,False,2025-11-18 16:54:32,2025-12-14 10:06:36,11,21
dummy_47_1765677992,guru perlu lebih aware sama bullying di sekolah,Depok,SMK Negeri 1 Depok,negatif,merah,13.0,saksi,True,2025-11-26 08:44:32,2025-12-14 10:06:36,10,90
dummy_48_1765677992,ada yang tau cara bantu korban bullying?,Palembang,SMK Negeri 2 Palembang,negatif,merah,15.0,korban,True,2025-12-02 13:16:32,2025-12-14 10:06:36,6,19
dummy_49_1765677992,kenapa ya aku selalu jadi bahan olokan? capek mental,Makassar,SMA Swasta XYZ Makassar,netral,aman,2.0,unknown,False,2025-11-24 04:26:32,2025-12-14 10:06:36,35,22
dummy_50_1765677992,guru BK peduli sama masalah siswa @teacher,Makassar,SMA Negeri 2 Makassar,netral,aman,2.0,unknown,False,2025-12-06 01:33:32,2025-12-14 10:06:36,29,33
dummy_51_1765677992,sedih liat anak SMP dibully sampai mogok sekolah @school,Makassar,SMA Negeri 4 Makassar,negatif,merah,18.0,saksi,True,2025-11-23 08:08:32,2025-12-14 10:06:36,15,76
dummy_52_1765677992,kenapa ya aku selalu jadi bahan olokan? capek mental #bullying,Medan,SMA Swasta XYZ Medan,negatif,merah,12.0,saksi,True,2025-12-08 22:08:32,2025-12-14 10:06:36,13,10
dummy_53_1765677992,guru perlu lebih aware sama bullying di sekolah #sekolah,Medan,SMA Swasta XYZ Medan,negatif,merah,13.0,saksi,True,2025-11-14 19:48:32,2025-12-14 10:06:36,39,79
dummy_54_1765677992,"sendiri terus di sekolah, gak ada yang mau temanin",Bekasi,SMP Negeri 4 Bekasi,netral,aman,1.0,unknown,False,2025-11-17 15:41:32,2025-12-14 10:06:36,13,10
dummy_55_1765677992,sekolah yang peduli membuat perbedaan,Bekasi,SMP Swasta ABC Bekasi,netral,aman,1.0,unknown,False,2025-12-13 22:08:32,2025-12-14 10:06:36,10,29
dummy_56_1765677992,guru perlu lebih aware sama bullying di sekolah,Mataram,SMP Negeri 4 Mataram,negatif,merah,13.0,saksi,True,2025-12-02 03:47:32,2025-12-14 10:06:36,12,55
dummy_57_1765677992,program mentoring di sekolahku bagus,Bekasi,SMA Negeri 4 Bekasi,netral,aman,2.0,unknown,False,2025-12-12 07:18:32,2025-12-14 10:06:36,34,72
dummy_58_1765677992,kasihan lihat temenku selalu dijauhin dan dihina #bullying,Bandung,SMP Negeri 1 Bandung,negatif,merah,17.0,saksi,True,2025-12-10 05:41:32,2025-12-14 10:06:36,1,13
dummy_59_1765677992,program mentoring di sekolahku bagus #mentalhealth,Mataram,SMK Negeri 2 Mataram,netral,aman,2.0,unknown,False,2025-12-02 06:53:32,2025-12-14 10:06:36,42,45
dummy_60_1765677992,kenapa ya aku selalu jadi bahan olokan? capek mental,Mataram,SMP Negeri 1 Mataram,netral,aman,2.0,unknown,False,2025-12-12 07:14:32,2025-12-14 10:06:36,49,88
dummy_61_1765677992,pentingnya empati di lingkungan sekolah #pendidikan,Jakarta,SMK Negeri 1 Jakarta,netral,aman,2.0,unknown,False,2025-11-27 16:55:32,2025-12-14 10:06:36,31,65
dummy_62_1765677992,di sekolahku ada geng yang suka nakut-nakutin adik kelas,Semarang,SMP Swasta ABC Semarang,netral,aman,2.0,unknown,False,2025-11-14 13:55:32,2025-12-14 10:06:36,43,40
dummy_63_1765677992,sedih liat anak SMP dibully sampai mogok sekolah #sekolah,Malang,SMP Negeri 1 Malang,negatif,merah,18.0,saksi,True,2025-12-05 06:16:32,2025-12-14 10:06:36,19,32
dummy_64_1765677992,"ngegangguin dia tuh seru, gak pernah melawan",Makassar,SMA Negeri 4 Makassar,netral,aman,2.0,unknown,False,2025-12-05 07:48:32,2025-12-14 10:06:36,38,61
dummy_65_1765677992,asyik ngerjain orang yang gak bisa melawan #pendidikan,Denpasar,SMP Negeri 2 Denpasar,netral,aman,2.0,unknown,False,2025-11-29 09:09:32,2025-12-14 10:06:36,27,57
dummy_66_1765677992,"aku ngerasa sedih banget di sekolah, selalu dijauhin teman-teman #pendidikan",Bekasi,SMP Negeri 1 Bekasi,negatif,merah,15.0,saksi,True,2025-12-09 23:43:32,2025-12-14 10:06:36,48,45
dummy_67_1765677992,sedih liat anak SMP dibully sampai mogok sekolah,Makassar,SMK Negeri 1 Makassar,negatif,merah,18.0,saksi,True,2025-11-22 07:26:32,2025-12-14 10:06:36,23,85
dummy_68_1765677992,senang bisa bantu teman yang dibully,Bandung,SMA Negeri 2 Bandung,negatif,merah,16.0,saksi,True,2025-11-15 20:02:32,2025-12-14 10:06:36,32,93
dummy_69_1765677992,asyik ngerjain orang yang gak bisa melawan,Semarang,SMA Negeri 3 Semarang,netral,aman,2.0,unknown,False,2025-12-14 08:11:32,2025-12-14 10:06:36,28,66
dummy_70_1765677992,belajar tentang cyberbullying hari ini,Bandung,SMP Negeri 4 Bandung,negatif,merah,13.0,saksi,True,2025-11-21 00:44:32,2025-12-14 10:06:36,41,61
dummy_71_1765677992,"harusnya sekolah jadi tempat aman, bukan tempat bully",Makassar,SMA Swasta XYZ Makassar,netral,merah,10.0,saksi,True,2025-11-29 22:04:32,2025-12-14 10:06:36,9,75
dummy_72_1765677992,"gak kuat lagi, setiap hari dihina di kelas",Semarang,SMA Swasta XYZ Semarang,negatif,merah,12.0,saksi,True,2025-12-03 23:36:32,2025-12-14 10:06:36,39,6
dummy_73_1765677992,program mentoring di sekolahku bagus #mentalhealth,Surabaya,SMP Negeri 4 Surabaya,netral,aman,2.0,unknown,False,2025-11-17 05:13:32,2025-12-14 10:06:36,15,67
dummy_74_1765677992,"capek, setiap hari nangis sepulang sekolah",Palembang,SMK Negeri 1 Palembang,netral,aman,1.0,unknown,False,2025-12-11 16:58:32,2025-12-14 10:06:36,10,22
dummy_75_1765677992,"dipukuli teman di kamar mandi sekolah, tapi takut melapor",Semarang,SMA Negeri 3 Semarang,negatif,merah,18.0,korban,True,2025-11-22 04:03:32,2025-12-14 10:06:36,46,12
dummy_76_1765677992,"dipukuli teman di kamar mandi sekolah, tapi takut melapor #sekolah",Surakarta,SMA Negeri 2 Surakarta,negatif,merah,18.0,korban,True,2025-12-02 12:05:32,2025-12-14 10:06:36,37,29
dummy_77_1765677992,"gak kuat lagi, setiap hari dihina di kelas #sekolah @school",Malang,SMP Negeri 2 Malang,negatif,merah,13.0,saksi,True,2025-12-02 07:05:32,2025-12-14 10:06:36,48,46
dummy_78_1765677992,"harusnya sekolah jadi tempat aman, bukan tempat bully #mentalhealth",Mataram,SMK Negeri 2 Mataram,netral,merah,10.0,saksi,True,2025-11-23 04:05:32,2025-12-14 10:06:36,10,63
dummy_79_1765677992,kasihan lihat temenku selalu dijauhin dan dihina,Depok,SMA Negeri 3 Depok,negatif,merah,16.0,saksi,True,2025-11-18 00:31:32,2025-12-14 10:06:36,47,23
dummy_80_1765677992,pentingnya empati di lingkungan sekolah,Semarang,SMP Swasta ABC Semarang,netral,aman,2.0,unknown,False,2025-11-17 02:20:32,2025-12-14 10:06:36,40,69
dummy_81_1765677992,"gak mau sekolah lagi, trauma di-bully #pendidikan @kemdikbud",Medan,SMA Negeri 2 Medan,negatif,merah,15.0,saksi,True,2025-11-23 00:38:32,2025-12-14 10:06:36,10,45
dummy_82_1765677992,uang jajan selalu diambil paksa sama senior #sekolah @school,Tangerang,SMP Negeri 3 Tangerang,netral,aman,2.0,unknown,False,2025-12-08 06:18:32,2025-12-14 10:06:36,42,71
dummy_83_1765677992,"sendiri terus di sekolah, gak ada yang mau temanin",Surakarta,SMA Swasta XYZ Surakarta,netral,aman,2.0,unknown,False,2025-11-22 17:15:32,2025-12-14 10:06:36,2,64
dummy_84_1765677992,"si lemah itu cemen banget, gampang nangis #sekolah @kemdikbud",Tangerang,SMA Negeri 3 Tangerang,netral,aman,2.0,unknown,False,2025-12-08 09:11:32,2025-12-14 10:06:36,24,62
dummy_85_1765677992,ada anak di sekolahku yang sering nangis di toilet sendirian,Bandung,SMA Negeri 2 Bandung,netral,aman,2.0,unknown,False,2025-11-29 21:14:32,2025-12-14 10:06:36,18,69
dummy_86_1765677992,asyik ngerjain orang yang gak bisa melawan,Jakarta,SMP Negeri 4 Jakarta,netral,aman,2.0,unknown,False,2025-12-08 06:39:32,2025-12-14 10:06:36,21,81
dummy_87_1765677992,kenapa sih ada yang tega bully anak orang? #mentalhealth,Mataram,SMA Negeri 4 Mataram,negatif,merah,13.0,saksi,True,2025-12-10 01:35:32,2025-12-14 10:06:36,7,55
dummy_88_1765677992,ada support group untuk korban bullying,Jakarta,SMP Negeri 1 Jakarta,negatif,merah,15.0,korban,True,2025-12-11 16:17:32,2025-12-14 10:06:36,6,20
dummy_89_1765677992,"gak kuat lagi, setiap hari dihina di kelas #sekolah",Mataram,SMA Negeri 1 Mataram,negatif,merah,13.0,saksi,True,2025-12-02 10:49:32,2025-12-14 10:06:36,1,52
dummy_90_1765677992,merasa lebih aman di sekolah sekarang #mentalhealth,Malang,SMA Swasta XYZ Malang,netral,aman,2.0,unknown,False,2025-11-29 21:28:32,2025-12-14 10:06:36,26,66
dummy_91_1765677992,belajar tentang cyberbullying hari ini,Bandung,SMA Swasta XYZ Bandung,negatif,merah,13.0,saksi,True,2025-12-12 13:36:32,2025-12-14 10:06:36,43,99
dummy_92_1765677992,sekolah perlu lebih banyak psikolog,Malang,SMA Negeri 4 Malang,netral,aman,2.0,unknown,False,2025-11-25 11:14:32,2025-12-14 10:06:36,46,89
dummy_93_1765677992,"bully itu seru sih, apalagi kalo korban lemah",Surakarta,SMA Negeri 3 Surakarta,negatif,merah,15.0,korban,True,2025-11-23 12:34:32,2025-12-14 10:06:36,32,17
dummy_94_1765677992,"harusnya sekolah jadi tempat aman, bukan tempat bully",Depok,SMA Negeri 4 Depok,netral,merah,10.0,saksi,True,2025-11-28 22:06:32,2025-12-14 10:06:36,20,41
dummy_95_1765677992,liburan sekolah menyenangkan,Denpasar,SMK Negeri 2 Denpasar,netral,aman,2.0,unknown,False,2025-12-09 00:26:32,2025-12-14 10:06:36,6,46
dummy_96_1765677992,liat temen dibully tapi takut ikut campur,Depok,SMA Negeri 1 Depok,negatif,merah,21.0,korban,True,2025-12-06 12:07:32,2025-12-14 10:06:36,28,49
dummy_97_1765677992,"aku ngerasa sedih banget di sekolah, selalu dijauhin teman-teman #pendidikan",Depok,SMK Negeri 1 Depok,negatif,merah,15.0,saksi,True,2025-11-26 08:28:32,2025-12-14 10:06:36,21,44
dummy_98_1765677992,teman-teman mulai berubah jadi lebih baik,Makassar,SMP Negeri 2 Makassar,netral,aman,2.0,unknown,False,2025-11-25 06:15:32,2025-12-14 10:06:36,49,95
dummy_99_1765677992,olimpiade sains di sekolah,Jakarta,SMA Swasta XYZ Jakarta,netral,aman,2.0,unknown,False,2025-12-08 10:06:32,2025-12-14 10:06:36,50,8
dummy_100_1765677992,uang jajan selalu diambil paksa sama senior,Yogyakarta,SMA Negeri 4 Yogyakarta,netral,aman,0.0,unknown,False,2025-12-07 05:54:32,2025-12-14 10:06:36,4,11
dummy_101_1765677992,program mentoring di sekolahku bagus #bullying,Makassar,SMA Swasta XYZ Makassar,negatif,merah,11.0,saksi,True,2025-11-27 13:45:32,2025-12-14 10:06:36,3,13
dummy_102_1765677992,belajar tentang cyberbullying hari ini #sekolah,Tangerang,SMP Negeri 3 Tangerang,negatif,merah,12.0,saksi,True,2025-12-13 08:36:32,2025-12-14 10:06:36,8,35
dummy_103_1765677992,ada anak di sekolahku yang sering nangis di toilet sendirian #sekolah,Palembang,SMA Swasta XYZ Palembang,netral,aman,2.0,unknown,False,2025-12-12 21:30:32,2025-12-14 10:06:36,23,79
dummy_104_1765677992,"hari ini ngerjain si culun lagi, wkwk @kemdikbud",Makassar,SMP Negeri 4 Makassar,netral,aman,2.0,unknown,False,2025-11-20 11:50:32,2025-12-14 10:06:36,7,71
dummy_105_1765677992,kasihan lihat temenku selalu dijauhin dan dihina,Tangerang,SMP Negeri 1 Tangerang,negatif,merah,16.0,saksi,True,2025-11-30 20:45:32,2025-12-14 10:06:36,9,82
dummy_106_1765677992,"sendiri terus di sekolah, gak ada yang mau temanin @teacher",Depok,SMP Swasta ABC Depok,netral,aman,2.0,unknown,False,2025-12-06 00:03:32,2025-12-14 10:06:36,29,82
dummy_107_1765677992,pentingnya empati di lingkungan sekolah,Surakarta,SMP Negeri 2 Surakarta,netral,aman,2.0,unknown,False,2025-12-01 09:44:32,2025-12-14 10:06:36,46,63
dummy_108_1765677992,"capek, setiap hari nangis sepulang sekolah",Jakarta,SMA Negeri 2 Jakarta,netral,aman,2.0,unknown,False,2025-12-03 13:59:32,2025-12-14 10:06:36,5,95
dummy_109_1765677992,"mau nangis, di-bully terus di sekolah #sekolah",Denpasar,SMA Negeri 3 Denpasar,negatif,merah,13.0,saksi,True,2025-11-24 22:22:32,2025-12-14 10:06:36,14,50
dummy_110_1765677992,sekolah perlu lebih banyak psikolog #sekolah @teacher,Medan,SMP Negeri 4 Medan,netral,aman,2.0,unknown,False,2025-11-22 08:43:32,2025-12-14 10:06:36,46,38
dummy_111_1765677992,liat temen dibully tapi takut ikut campur,Surabaya,SMA Swasta XYZ Surabaya,negatif,merah,21.0,korban,True,2025-11-29 15:48:32,2025-12-14 10:06:36,49,86
dummy_112_1765677992,anak tetangga gak mau sekolah karena dibully,Mataram,SMP Swasta ABC Mataram,negatif,merah,16.0,saksi,True,2025-11-17 12:54:32,2025-12-14 10:06:36,7,91
dummy_113_1765677992,kasihan lihat temenku selalu dijauhin dan dihina,Bandung,SMP Negeri 1 Bandung,negatif,merah,15.0,saksi,True,2025-11-26 08:58:32,2025-12-14 10:06:36,0,28
dummy_114_1765677992,uang jajan selalu diambil paksa sama senior,Surakarta,SMP Negeri 2 Surakarta,netral,aman,2.0,unknown,False,2025-11-16 20:08:32,2025-12-14 10:06:36,42,64
dummy_115_1765677992,"harusnya sekolah jadi tempat aman, bukan tempat bully",Surabaya,SMA Negeri 1 Surabaya,netral,merah,10.0,saksi,True,2025-11-25 18:07:32,2025-12-14 10:06:36,38,57
dummy_116_1765677992,kenapa sih ada yang tega bully anak orang? @kemdikbud,Tangerang,SMK Negeri 2 Tangerang,negatif,merah,13.0,saksi,True,2025-12-09 21:41:32,2025-12-14 10:06:36,27,38
dummy_117_1765677992,sekolah perlu lebih banyak psikolog,Depok,SMP Negeri 4 Depok,netral,aman,2.0,unknown,False,2025-11-25 04:13:32,2025-12-14 10:06:36,48,20
dummy_118_1765677992,"harusnya sekolah jadi tempat aman, bukan tempat bully",Tangerang,SMP Swasta ABC Tangerang,netral,merah,10.0,saksi,True,2025-12-04 14:14:32,2025-12-14 10:06:36,47,25
dummy_119_1765677992,liburan sekolah menyenangkan,Jakarta,SMA Negeri 2 Jakarta,netral,aman,2.0,unknown,False,2025-12-08 23:47:32,2025-12-14 10:06:36,25,33
dummy_120_1765677992,"aku ngerasa sedih banget di sekolah, selalu dijauhin teman-teman #sekolah",Mataram,SMK Negeri 1 Mataram,negatif,merah,15.0,saksi,True,2025-11-20 02:22:32,2025-12-14 10:06:36,38,21
dummy_121_1765677992,"ngegangguin dia tuh seru, gak pernah melawan",Surabaya,SMP Swasta ABC Surabaya,netral,aman,2.0,unknown,False,2025-12-07 07:34:32,2025-12-14 10:06:36,12,50
dummy_122_1765677992,kenapa sih ada yang tega bully anak orang?,Depok,SMA Negeri 1 Depok,negatif,merah,13.0,saksi,True,2025-12-07 05:46:32,2025-12-14 10:06:36,49,83
dummy_123_1765677992,"capek, setiap hari nangis sepulang sekolah @kemdikbud",Surabaya,SMP Negeri 1 Surabaya,netral,aman,2.0,unknown,False,2025-11-17 22:25:32,2025-12-14 10:06:36,6,99
dummy_124_1765677992,"aku ngerasa sedih banget di sekolah, selalu dijauhin teman-teman",Jakarta,SMA Negeri 4 Jakarta,negatif,merah,14.0,saksi,True,2025-11-14 23:20:32,2025-12-14 10:06:36,22,20
dummy_125_1765677992,ada yang tau cara bantu korban bullying?,Yogyakarta,SMP Swasta ABC Yogyakarta,negatif,merah,16.0,korban,True,2025-11-14 14:30:32,2025-12-14 10:06:36,44,76
dummy_126_1765677992,"sendiri terus di sekolah, gak ada yang mau temanin",Surabaya,SMK Negeri 2 Surabaya,netral,aman,1.0,unknown,False,2025-12-07 06:49:32,2025-12-14 10:06:36,22,3
dummy_127_1765677992,"aku ngerasa sedih banget di sekolah, selalu dijauhin teman-teman",Medan,SMP Negeri 4 Medan,negatif,merah,14.0,saksi,True,2025-12-07 04:25:32,2025-12-14 10:06:36,23,4
dummy_128_1765677992,kenapa sih ada yang tega bully anak orang? #sekolah @school,Makassar,SMK Negeri 2 Makassar,negatif,merah,13.0,saksi,True,2025-12-01 03:48:32,2025-12-14 10:06:36,6,76
dummy_129_1765677992,pentingnya empati di lingkungan sekolah,Yogyakarta,SMA Negeri 1 Yogyakarta,netral,aman,2.0,unknown,False,2025-12-11 04:35:32,2025-12-14 10:06:36,13,77
dummy_130_1765677992,olimpiade sains di sekolah #pendidikan,Surabaya,SMA Swasta XYZ Surabaya,netral,aman,2.0,unknown,False,2025-12-07 07:49:32,2025-12-14 10:06:36,27,42
dummy_131_1765677992,guru perlu lebih aware sama bullying di sekolah,Bekasi,SMA Swasta XYZ Bekasi,negatif,merah,13.0,saksi,True,2025-12-07 19:25:32,2025-12-14 10:06:36,7,46
dummy_132_1765677992,kerja kelompok hari ini seru,Yogyakarta,SMP Negeri 4 Yogyakarta,netral,aman,2.0,unknown,False,2025-11-15 16:09:32,2025-12-14 10:06:36,15,80
dummy_133_1765677992,kasihan lihat temenku selalu dijauhin dan dihina,Yogyakarta,SMA Swasta XYZ Yogyakarta,negatif,merah,16.0,saksi,True,2025-11-25 10:00:32,2025-12-14 10:06:36,46,21
dummy_134_1765677992,teman-teman mulai berubah jadi lebih baik #mentalhealth,Surabaya,SMP Negeri 4 Surabaya,netral,aman,2.0,unknown,False,2025-11-20 17:59:32,2025-12-14 10:06:36,46,70
dummy_135_1765677992,kampanye anti bullying berhasil di sekolah,Surabaya,SMA Swasta XYZ Surabaya,netral,merah,10.0,saksi,True,2025-12-07 01:34:32,2025-12-14 10:06:36,37,91
